n_updates,policy_loss,policy_entropy,ep_reward_mean,fps,approxkl,explained_variance,clipfrac,time_elapsed,value_loss,total_timesteps,serial_timesteps,ep_len_mean
130,0.0032675262,0.83808625,69.98632105924189,42,0.025024109,0.8680458813905716,0.17403127,24844.37441921234,43.2979,1040000,260000,66.12
131,-0.0032443863,0.747198,80.572188693434,38,0.013839795,0.8469651937484741,0.124687515,25033.72292804718,48.704998,1048000,262000,65.06
132,0.0036329227,0.6951535,82.12174328435212,38,0.021484438,0.8973585143685341,0.16378124,25240.898493289948,23.829721,1056000,264000,57.65
133,-0.0021801936,0.6058918,88.73216362770647,32,0.01084395,0.8526902198791504,0.10840623,25446.36181998253,40.844933,1064000,266000,56.92
134,0.00040869653,0.9003506,69.77938026282936,40,0.013393415,0.8994675576686859,0.16018748,25690.593982696533,39.424194,1072000,268000,76.51
135,0.0004007748,0.73464847,67.45181421808898,42,0.012459898,0.7520413398742676,0.12921877,25889.320969343185,48.986477,1080000,270000,60.33
136,0.0017814154,0.70307046,71.35111546590925,42,0.020244416,0.8189234584569931,0.17706248,26078.152626752853,48.459385,1088000,272000,61.87
137,-0.00033545043,0.76615,71.26524281010032,40,0.022060513,0.8216123282909393,0.20509376,26264.902816534042,54.935043,1096000,274000,65.04
138,0.0033678422,0.8124968,74.19755531419068,40,0.01438947,0.9173735529184341,0.13409378,26461.24370265007,28.515228,1104000,276000,67.79
139,0.0002501274,0.8243001,88.23928578279913,40,0.01597189,0.9293316155672073,0.16915622,26658.264006614685,19.645882,1112000,278000,85.49
140,0.0034804319,0.6327964,92.91619821600617,37,0.017194755,0.8962944746017456,0.14346874,26853.670919179916,19.628769,1120000,280000,67.8
141,-0.00029837698,0.7459921,72.31588402364403,46,0.009477379,0.8716533780097961,0.11081249,27067.903270483017,39.38004,1128000,282000,70.13
142,-0.0027945163,0.7746674,80.89755954716355,38,0.009994443,0.9196962118148804,0.111625016,27241.15823698044,26.620697,1136000,284000,73.49
143,-0.00012542203,0.8822812,71.70173424858599,39,0.016119663,0.9165962412953377,0.15387498,27448.44816851616,25.045607,1144000,286000,72.08
144,-0.0008451032,0.5678755,88.3276339770481,39,0.01946816,0.7182685434818268,0.17131254,27653.021370887756,33.895878,1152000,288000,59.05
145,0.0019064104,0.7616857,77.58922457445414,43,0.026404995,0.8789292350411415,0.18206254,27854.02538371086,28.48226,1160000,290000,84.85
146,-0.0022758376,0.7166542,73.37873966995626,48,0.013727134,0.8354741185903549,0.15234381,28037.809123039246,32.454304,1168000,292000,65.59
147,-0.0036903378,0.83212197,70.06999633867294,41,0.013528282,0.9281657934188843,0.14762498,28202.11988067627,22.272373,1176000,294000,73.06
148,-3.5421166e-05,0.540155,91.40019135612994,39,0.008648044,0.9326457008719444,0.08725,28393.475661993027,16.144058,1184000,296000,64.74
149,0.0005185665,0.711121,88.9926288509369,37,0.013538989,0.8764092549681664,0.14534372,28595.19551205635,27.765726,1192000,298000,72.41
150,-0.002228154,0.7121046,85.80921153668314,51,0.0094258515,0.9038200229406357,0.11384375,28809.728979825974,16.316322,1200000,300000,67.98
151,-0.0029996252,0.71869564,86.98504537638277,42,0.012923398,0.9410269632935524,0.13890626,28964.600454092026,11.605881,1208000,302000,67.05
